trade_id,timestamp,asset,side,quantity,entry_price,exit_price,profit_loss,balance
1,2025-03-07T10:00:00Z,SPY,BUY,1,500,501,1,10000
2,2025-03-07T10:01:00Z,SPY,BUY,1,500,499,-1,10001
3,2025-03-07T10:02:00Z,SPY,BUY,1,500,503,3,10000
4,2025-03-07T10:03:00Z,SPY,BUY,1,500,498,-2,10003
5,2025-03-07T10:04:00Z,SPY,BUY,1,500,505,5,10001
6,2025-03-07T10:05:00Z,SPY,BUY,1,500,497,-3,10006
7,2025-03-07T10:06:00Z,SPY,BUY,1,500,506,6,10003
8,2025-03-07T10:07:00Z,SPY,BUY,1,500,496,-4,10009
9,2025-03-07T10:08:00Z,SPY,BUY,1,500,507,7,10005
10,2025-03-07T10:09:00Z,SPY,BUY,1,500,495,-5,10012
11,2025-03-07T10:10:00Z,SPY,BUY,1,500,508,8,10007
12,2025-03-07T10:11:00Z,SPY,BUY,1,500,494,-6,10015
