trade_id,timestamp,asset,side,quantity,entry_price,exit_price,profit_loss,balance
1,2025-03-11T09:00:00Z,SPY,BUY,5,400.00,398.00,-10.00,9990.00
2,2025-03-11T09:00:30Z,QQQ,SELL,6,401.00,400.00,-6.00,9984.00
3,2025-03-11T09:01:00Z,QQQ,BUY,7,402.00,402.00,0.00,9984.00
4,2025-03-11T09:01:30Z,SPY,SELL,8,403.00,404.00,8.00,9992.00
5,2025-03-11T09:02:00Z,QQQ,BUY,5,404.00,406.00,10.00,10002.00
6,2025-03-11T09:02:30Z,QQQ,SELL,6,405.00,408.00,18.00,10020.00
7,2025-03-11T09:03:00Z,SPY,BUY,7,406.00,404.00,-14.00,10006.00
8,2025-03-11T09:03:30Z,QQQ,SELL,8,400.00,399.00,-8.00,9998.00
9,2025-03-11T09:04:00Z,QQQ,BUY,5,401.00,401.00,0.00,9998.00
10,2025-03-11T09:04:30Z,SPY,SELL,6,402.00,403.00,6.00,10004.00
11,2025-03-11T09:05:00Z,QQQ,BUY,7,403.00,405.00,14.00,10018.00
12,2025-03-11T09:05:30Z,QQQ,SELL,8,404.00,407.00,24.00,10042.00
13,2025-03-11T09:06:00Z,SPY,BUY,5,405.00,403.00,-10.00,10032.00
14,2025-03-11T09:06:30Z,QQQ,SELL,6,406.00,405.00,-6.00,10026.00
15,2025-03-11T09:07:00Z,QQQ,BUY,7,400.00,400.00,0.00,10026.00
16,2025-03-11T09:07:30Z,SPY,SELL,8,401.00,402.00,8.00,10034.00
17,2025-03-11T09:08:00Z,QQQ,BUY,5,402.00,404.00,10.00,10044.00
18,2025-03-11T09:08:30Z,QQQ,SELL,6,403.00,406.00,18.00,10062.00
19,2025-03-11T09:09:00Z,SPY,BUY,7,404.00,402.00,-14.00,10048.00
20,2025-03-11T09:09:30Z,QQQ,SELL,8,405.00,404.00,-8.00,10040.00
21,2025-03-11T09:10:00Z,QQQ,BUY,5,406.00,406.00,0.00,10040.00
22,2025-03-11T09:10:30Z,SPY,SELL,6,400.00,401.00,6.00,10046.00
23,2025-03-11T09:11:00Z,QQQ,BUY,7,401.00,403.00,14.00,10060.00
24,2025-03-11T09:11:30Z,QQQ,SELL,8,402.00,405.00,24.00,10084.00
25,2025-03-11T09:12:00Z,SPY,BUY,5,403.00,401.00,-10.00,10074.00
26,2025-03-11T09:12:30Z,QQQ,SELL,6,404.00,403.00,-6.00,10068.00
27,2025-03-11T09:13:00Z,QQQ,BUY,7,405.00,405.00,0.00,10068.00
28,2025-03-11T09:13:30Z,SPY,SELL,8,406.00,407.00,8.00,10076.00
