trade_id,timestamp,asset,side,quantity,entry_price,exit_price,profit_loss,balance
1,2025-03-13T09:00:00Z,MSFT,BUY,10,300,301,10,10000
2,2025-03-13T09:02:00Z,MSFT,BUY,10,300,299,-10,10010
3,2025-03-13T09:04:00Z,AAPL,BUY,20,150,152,40,10000
4,2025-03-13T09:06:00Z,AAPL,BUY,20,150,149,-20,10040
5,2025-03-13T09:08:00Z,NVDA,BUY,30,800,801,30,10020
6,2025-03-13T09:10:00Z,NVDA,BUY,30,800,799,-30,10050
7,2025-03-13T09:12:00Z,AMZN,BUY,40,500,502,80,10020
8,2025-03-13T09:14:00Z,AMZN,BUY,40,500,499,-40,10100
9,2025-03-13T09:16:00Z,GOOG,BUY,50,1000,1001,50,10060
10,2025-03-13T09:18:00Z,GOOG,BUY,50,1000,995,-250,10110
11,2025-03-13T09:20:00Z,TSLA,BUY,60,200,201,60,9860
12,2025-03-13T09:22:00Z,TSLA,BUY,60,200,198,-120,9920
