trade_id,timestamp,asset,side,quantity,entry_price,exit_price,profit_loss,balance
1,2025-03-23T09:00:00Z,AAPL,BUY,10,100.0,100.1,1.0,10001.0
2,2025-03-23T09:00:10Z,MSFT,SELL,10,100.0,99.9,-1.0,10000.0
3,2025-03-23T09:00:20Z,NVDA,BUY,10,100.0,99.9,-1.0,9999.0
4,2025-03-23T09:00:30Z,TSLA,SELL,10,100.0,100.1,1.0,10000.0
5,2025-03-23T09:00:40Z,AMZN,BUY,10,100.0,99.9,-1.0,9999.0
6,2025-03-23T09:00:50Z,AAPL,SELL,10,100.0,99.9,-1.0,9998.0
7,2025-03-23T09:01:00Z,MSFT,BUY,10,100.0,100.1,1.0,9999.0
8,2025-03-23T09:01:10Z,NVDA,SELL,10,100.0,99.9,-1.0,9998.0
9,2025-03-23T09:01:20Z,TSLA,BUY,10,100.0,99.9,-1.0,9997.0
10,2025-03-23T09:01:30Z,AMZN,SELL,10,100.0,100.1,1.0,9998.0
11,2025-03-23T09:01:40Z,AAPL,BUY,10,100.0,99.9,-1.0,9997.0
12,2025-03-23T09:01:50Z,MSFT,SELL,10,100.0,99.9,-1.0,9996.0
13,2025-03-23T09:02:00Z,NVDA,BUY,10,100.0,100.1,1.0,9997.0
14,2025-03-23T09:02:10Z,TSLA,SELL,10,100.0,99.9,-1.0,9996.0
15,2025-03-23T09:02:20Z,AMZN,BUY,10,100.0,99.9,-1.0,9995.0
16,2025-03-23T09:02:30Z,AAPL,SELL,10,100.0,100.1,1.0,9996.0
17,2025-03-23T09:02:40Z,MSFT,BUY,10,100.0,99.9,-1.0,9995.0
18,2025-03-23T09:02:50Z,NVDA,SELL,10,100.0,99.9,-1.0,9994.0
19,2025-03-23T09:03:00Z,TSLA,BUY,10,100.0,100.1,1.0,9995.0
20,2025-03-23T09:03:10Z,AMZN,SELL,10,100.0,99.9,-1.0,9994.0
21,2025-03-23T09:03:20Z,AAPL,BUY,10,100.0,99.9,-1.0,9993.0
22,2025-03-23T09:03:30Z,MSFT,SELL,10,100.0,100.1,1.0,9994.0
23,2025-03-23T09:03:40Z,NVDA,BUY,10,100.0,99.9,-1.0,9993.0
24,2025-03-23T09:03:50Z,TSLA,SELL,10,100.0,99.9,-1.0,9992.0
25,2025-03-23T09:04:00Z,AMZN,BUY,10,100.0,100.1,1.0,9993.0
26,2025-03-23T09:04:10Z,AAPL,SELL,10,100.0,99.9,-1.0,9992.0
27,2025-03-23T09:04:20Z,MSFT,BUY,10,100.0,99.9,-1.0,9991.0
28,2025-03-23T09:04:30Z,NVDA,SELL,10,100.0,100.1,1.0,9992.0
29,2025-03-23T09:04:40Z,TSLA,BUY,10,100.0,99.9,-1.0,9991.0
30,2025-03-23T09:04:50Z,AMZN,SELL,10,100.0,99.9,-1.0,9990.0
31,2025-03-23T09:05:00Z,AAPL,BUY,10,100.0,100.1,1.0,9991.0
32,2025-03-23T09:05:10Z,MSFT,SELL,10,100.0,99.9,-1.0,9990.0
33,2025-03-23T09:05:20Z,NVDA,BUY,10,100.0,99.9,-1.0,9989.0
34,2025-03-23T09:05:30Z,TSLA,SELL,10,100.0,100.1,1.0,9990.0
35,2025-03-23T09:05:40Z,AMZN,BUY,10,100.0,99.9,-1.0,9989.0
36,2025-03-23T09:05:50Z,AAPL,SELL,10,100.0,99.9,-1.0,9988.0
37,2025-03-23T09:06:00Z,MSFT,BUY,10,100.0,100.1,1.0,9989.0
38,2025-03-23T09:06:10Z,NVDA,SELL,10,100.0,99.9,-1.0,9988.0
39,2025-03-23T09:06:20Z,TSLA,BUY,10,100.0,99.9,-1.0,9987.0
40,2025-03-23T09:06:30Z,AMZN,SELL,10,100.0,100.1,1.0,9988.0
41,2025-03-23T09:06:40Z,AAPL,BUY,10,100.0,99.9,-1.0,9987.0
42,2025-03-23T09:06:50Z,MSFT,SELL,10,100.0,99.9,-1.0,9986.0
43,2025-03-23T09:07:00Z,NVDA,BUY,10,100.0,100.1,1.0,9987.0
44,2025-03-23T09:07:10Z,TSLA,SELL,10,100.0,99.9,-1.0,9986.0
45,2025-03-23T09:07:20Z,AMZN,BUY,10,100.0,99.9,-1.0,9985.0
46,2025-03-23T09:07:30Z,AAPL,SELL,10,100.0,100.1,1.0,9986.0
47,2025-03-23T09:07:40Z,MSFT,BUY,10,100.0,99.9,-1.0,9985.0
48,2025-03-23T09:07:50Z,NVDA,SELL,10,100.0,99.9,-1.0,9984.0
49,2025-03-23T09:08:00Z,TSLA,BUY,10,100.0,100.1,1.0,9985.0
50,2025-03-23T09:08:10Z,MSFT,BUY,50,1000.0,990.0,-500.0,9485.0
51,2025-03-23T09:08:20Z,AMZN,BUY,600,1000.0,1001.6666667,1000.0,10485.0
52,2025-03-23T09:08:30Z,MSFT,SELL,10,100.0,100.1,1.0,10486.0
53,2025-03-23T09:08:40Z,NVDA,BUY,10,100.0,99.9,-1.0,10485.0
54,2025-03-23T09:08:50Z,TSLA,SELL,10,100.0,99.9,-1.0,10484.0
55,2025-03-23T09:09:00Z,AMZN,BUY,10,100.0,100.1,1.0,10485.0
56,2025-03-23T09:09:10Z,AAPL,SELL,10,100.0,99.9,-1.0,10484.0
57,2025-03-23T09:09:20Z,MSFT,BUY,10,100.0,99.9,-1.0,10483.0
58,2025-03-23T09:09:30Z,NVDA,SELL,10,100.0,100.1,1.0,10484.0
59,2025-03-23T09:09:40Z,TSLA,BUY,10,100.0,99.9,-1.0,10483.0
60,2025-03-23T09:09:50Z,AMZN,SELL,10,100.0,99.9,-1.0,10482.0
61,2025-03-23T09:10:00Z,AAPL,BUY,10,100.0,100.1,1.0,10483.0
62,2025-03-23T09:10:10Z,MSFT,SELL,10,100.0,99.9,-1.0,10482.0
63,2025-03-23T09:10:20Z,NVDA,BUY,10,100.0,99.9,-1.0,10481.0
64,2025-03-23T09:10:30Z,TSLA,SELL,10,100.0,100.1,1.0,10482.0
65,2025-03-23T09:10:40Z,AMZN,BUY,10,100.0,99.9,-1.0,10481.0
66,2025-03-23T09:10:50Z,AAPL,SELL,10,100.0,99.9,-1.0,10480.0
67,2025-03-23T09:11:00Z,MSFT,BUY,10,100.0,100.1,1.0,10481.0
68,2025-03-23T09:11:10Z,NVDA,SELL,10,100.0,99.9,-1.0,10480.0
69,2025-03-23T09:11:20Z,TSLA,BUY,10,100.0,99.9,-1.0,10479.0
70,2025-03-23T09:11:30Z,AMZN,SELL,10,100.0,100.1,1.0,10480.0
71,2025-03-23T09:11:40Z,AAPL,BUY,10,100.0,99.9,-1.0,10479.0
72,2025-03-23T09:11:50Z,MSFT,SELL,10,100.0,99.9,-1.0,10478.0
73,2025-03-23T09:12:00Z,NVDA,BUY,10,100.0,100.1,1.0,10479.0
74,2025-03-23T09:12:10Z,TSLA,SELL,10,100.0,99.9,-1.0,10478.0
75,2025-03-23T09:12:20Z,AMZN,BUY,10,100.0,99.9,-1.0,10477.0
76,2025-03-23T09:12:30Z,AAPL,SELL,10,100.0,100.1,1.0,10478.0
77,2025-03-23T09:12:40Z,MSFT,BUY,10,100.0,99.9,-1.0,10477.0
78,2025-03-23T09:12:50Z,NVDA,SELL,10,100.0,99.9,-1.0,10476.0
79,2025-03-23T09:13:00Z,TSLA,BUY,10,100.0,100.1,1.0,10477.0
80,2025-03-23T09:13:10Z,AMZN,SELL,10,100.0,99.9,-1.0,10476.0
81,2025-03-23T09:13:20Z,AAPL,BUY,10,100.0,99.9,-1.0,10475.0
82,2025-03-23T09:13:30Z,MSFT,SELL,10,100.0,100.1,1.0,10476.0
83,2025-03-23T09:13:40Z,NVDA,BUY,10,100.0,99.9,-1.0,10475.0
84,2025-03-23T09:13:50Z,TSLA,SELL,10,100.0,99.9,-1.0,10474.0
85,2025-03-23T09:14:00Z,AMZN,BUY,10,100.0,100.1,1.0,10475.0
86,2025-03-23T09:14:10Z,AAPL,SELL,10,100.0,99.9,-1.0,10474.0
87,2025-03-23T09:14:20Z,MSFT,BUY,10,100.0,99.9,-1.0,10473.0
88,2025-03-23T09:14:30Z,NVDA,SELL,10,100.0,100.1,1.0,10474.0
89,2025-03-23T09:14:40Z,TSLA,BUY,10,100.0,99.9,-1.0,10473.0
90,2025-03-23T09:14:50Z,AMZN,SELL,10,100.0,99.9,-1.0,10472.0
91,2025-03-23T09:15:00Z,AAPL,BUY,10,100.0,100.1,1.0,10473.0
92,2025-03-23T09:15:10Z,MSFT,SELL,10,100.0,99.9,-1.0,10472.0
93,2025-03-23T09:15:20Z,NVDA,BUY,10,100.0,99.9,-1.0,10471.0
94,2025-03-23T09:15:30Z,TSLA,SELL,10,100.0,100.1,1.0,10472.0
