trade_id,timestamp,asset,side,quantity,entry_price,exit_price,profit_loss,balance
1,2025-03-25T09:00:00Z,AAPL,BUY,2,100.0,100.5,1.0,10001.0
2,2025-03-25T09:00:20Z,MSFT,SELL,3,101.0,101.1,0.3,10001.3
3,2025-03-25T09:00:40Z,NVDA,BUY,4,102.0,102.1,0.4,10001.7
4,2025-03-25T09:01:00Z,TSLA,SELL,5,103.0,103.5,2.5,10004.2
5,2025-03-25T09:01:20Z,AMZN,BUY,2,104.0,104.1,0.2,10004.4
6,2025-03-25T09:01:40Z,GOOG,SELL,3,105.0,104.7,-0.9,10003.5
7,2025-03-25T09:02:00Z,AAPL,BUY,4,106.0,106.5,2.0,10005.5
8,2025-03-25T09:02:20Z,MSFT,SELL,5,107.0,107.1,0.5,10006.0
9,2025-03-25T09:02:40Z,NVDA,BUY,2,108.0,108.1,0.2,10006.2
10,2025-03-25T09:03:00Z,TSLA,SELL,3,109.0,109.5,1.5,10007.7
11,2025-03-25T09:03:20Z,AMZN,BUY,4,110.0,109.7,-1.2,10006.5
12,2025-03-25T09:03:40Z,GOOG,SELL,5,111.0,111.1,0.5,10007.0
13,2025-03-25T09:04:00Z,AAPL,BUY,2,112.0,112.5,1.0,10008.0
14,2025-03-25T09:04:20Z,MSFT,SELL,3,113.0,113.1,0.3,10008.3
15,2025-03-25T09:04:40Z,NVDA,BUY,4,114.0,114.1,0.4,10008.7
16,2025-03-25T09:05:00Z,TSLA,SELL,5,115.0,115.5,2.5,10011.2
17,2025-03-25T09:05:20Z,AMZN,BUY,2,116.0,116.1,0.2,10011.4
18,2025-03-25T09:05:40Z,GOOG,SELL,3,100.0,100.1,0.3,10011.7
19,2025-03-25T09:06:00Z,AAPL,BUY,4,101.0,101.5,2.0,10013.7
20,2025-03-25T09:06:20Z,MSFT,SELL,5,102.0,102.1,0.5,10014.2
21,2025-03-25T09:06:40Z,NVDA,BUY,2,103.0,102.7,-0.6,10013.6
22,2025-03-25T09:07:00Z,TSLA,SELL,3,104.0,104.5,1.5,10015.1
23,2025-03-25T09:07:20Z,AMZN,BUY,4,105.0,105.1,0.4,10015.5
24,2025-03-25T09:07:40Z,GOOG,SELL,5,106.0,106.1,0.5,10016.0
25,2025-03-25T09:08:00Z,AAPL,BUY,2,107.0,107.5,1.0,10017.0
26,2025-03-25T09:08:20Z,MSFT,SELL,3,108.0,107.7,-0.9,10016.1
27,2025-03-25T09:08:40Z,NVDA,BUY,4,109.0,109.1,0.4,10016.5
28,2025-03-25T09:09:00Z,TSLA,SELL,5,110.0,110.5,2.5,10019.0
29,2025-03-25T09:09:20Z,AMZN,BUY,2,111.0,111.1,0.2,10019.2
30,2025-03-25T09:09:40Z,GOOG,SELL,3,112.0,112.1,0.3,10019.5
31,2025-03-25T09:10:00Z,AAPL,BUY,4,113.0,113.5,2.0,10021.5
32,2025-03-25T09:10:20Z,MSFT,SELL,5,114.0,114.1,0.5,10022.0
33,2025-03-25T09:10:40Z,NVDA,BUY,2,115.0,115.1,0.2,10022.2
34,2025-03-25T09:11:00Z,TSLA,SELL,3,116.0,116.5,1.5,10023.7
35,2025-03-25T09:11:20Z,AMZN,BUY,4,100.0,100.1,0.4,10024.1
36,2025-03-25T09:11:40Z,GOOG,SELL,5,101.0,100.7,-1.5,10022.6
37,2025-03-25T09:12:00Z,AAPL,BUY,2,102.0,102.5,1.0,10023.6
38,2025-03-25T09:12:20Z,MSFT,SELL,3,103.0,103.1,0.3,10023.9
39,2025-03-25T09:12:40Z,NVDA,BUY,4,104.0,104.1,0.4,10024.3
40,2025-03-25T09:13:00Z,TSLA,SELL,5,105.0,105.5,2.5,10026.8
41,2025-03-25T09:13:20Z,AMZN,BUY,2,106.0,105.7,-0.6,10026.2
42,2025-03-25T09:13:40Z,GOOG,SELL,3,107.0,107.1,0.3,10026.5
43,2025-03-25T09:14:00Z,AAPL,BUY,4,108.0,108.5,2.0,10028.5
44,2025-03-25T09:14:20Z,MSFT,SELL,5,109.0,109.1,0.5,10029.0
45,2025-03-25T09:14:40Z,NVDA,BUY,2,110.0,110.1,0.2,10029.2
46,2025-03-25T09:15:00Z,TSLA,SELL,3,111.0,111.5,1.5,10030.7
47,2025-03-25T09:15:20Z,AMZN,BUY,4,112.0,112.1,0.4,10031.1
48,2025-03-25T09:15:40Z,GOOG,SELL,5,113.0,113.1,0.5,10031.6
49,2025-03-25T09:16:00Z,AAPL,BUY,2,114.0,114.5,1.0,10032.6
50,2025-03-25T09:16:20Z,MSFT,SELL,3,115.0,115.1,0.3,10032.9
51,2025-03-25T09:16:40Z,NVDA,BUY,4,116.0,115.7,-1.2,10031.7
52,2025-03-25T09:17:00Z,TSLA,SELL,5,100.0,100.5,2.5,10034.2
53,2025-03-25T09:17:20Z,AMZN,BUY,2,101.0,101.1,0.2,10034.4
54,2025-03-25T09:17:40Z,GOOG,SELL,3,102.0,102.1,0.3,10034.7
55,2025-03-25T09:18:00Z,AAPL,BUY,4,103.0,103.5,2.0,10036.7
56,2025-03-25T09:18:20Z,MSFT,SELL,5,104.0,103.7,-1.5,10035.2
57,2025-03-25T09:18:40Z,NVDA,BUY,2,105.0,105.1,0.2,10035.4
58,2025-03-25T09:19:00Z,TSLA,SELL,3,106.0,106.5,1.5,10036.9
59,2025-03-25T09:19:20Z,AMZN,BUY,4,107.0,107.1,0.4,10037.3
60,2025-03-25T09:19:40Z,GOOG,SELL,5,108.0,108.1,0.5,10037.8
61,2025-03-25T09:20:00Z,AAPL,BUY,2,109.0,109.5,1.0,10038.8
62,2025-03-25T09:20:20Z,MSFT,SELL,3,110.0,110.1,0.3,10039.1
63,2025-03-25T09:20:40Z,NVDA,BUY,4,111.0,111.1,0.4,10039.5
64,2025-03-25T09:21:00Z,TSLA,SELL,5,112.0,112.5,2.5,10042.0
65,2025-03-25T09:21:20Z,AMZN,BUY,2,113.0,113.1,0.2,10042.2
66,2025-03-25T09:21:40Z,GOOG,SELL,3,114.0,113.7,-0.9,10041.3
67,2025-03-25T09:22:00Z,AAPL,BUY,4,115.0,115.5,2.0,10043.3
68,2025-03-25T09:22:20Z,MSFT,SELL,5,116.0,116.1,0.5,10043.8
69,2025-03-25T09:22:40Z,NVDA,BUY,2,100.0,100.1,0.2,10044.0
70,2025-03-25T09:23:00Z,TSLA,SELL,3,101.0,101.5,1.5,10045.5
71,2025-03-25T09:23:20Z,AMZN,BUY,4,102.0,101.7,-1.2,10044.3
72,2025-03-25T09:23:40Z,GOOG,SELL,5,103.0,103.1,0.5,10044.8
73,2025-03-25T09:24:00Z,AAPL,BUY,2,104.0,104.5,1.0,10045.8
74,2025-03-25T09:24:20Z,MSFT,SELL,3,105.0,105.1,0.3,10046.1
