timestamp,asset,side,quantity,entry_price,exit_price,profit_loss,balance
2026-02-02T09:30:00,BTC,BUY,10,100,109,90,10090
2026-02-02T09:35:00,ETH,SELL,10,100,94,60,10150
2026-02-02T09:40:00,SOL,BUY,10,100,108,80,10230
2026-02-02T09:45:00,BTC,SELL,10,100,92,80,10310
2026-02-02T09:50:00,ETH,BUY,10,100,95,50,10360
2026-02-02T09:55:00,SOL,BUY,10,100,35,-650,9710
2026-02-02T09:56:00,SOL,BUY,55,100,89,-1155,9205
2026-02-02T10:00:00,XRP,SELL,,100,99,10,10875
2026-02-02T10:05:00,DOGE,BUY,8,100,100,,10875
2026-02-02T10:10:00,PEPE,BUY,30000,2000,2002,-5000000,100
2026-02-02T10:20:00,ADA,SELL,10,100,15,-850,25
2026-02-02T10:30:00,BTC,BUY,10,100,97,30,55
