timestamp,asset,side,quantity,entry_price,exit_price,profit_loss,balance
2026-02-03T09:30:00,BTC,BUY,10,100,110,100,10100
2026-02-03T09:35:00,ETH,SELL,10,100,94,60,10160
2026-02-03T09:40:00,SOL,BUY,10,100,107,70,10230
2026-02-03T09:45:00,BTC,SELL,10,100,92,80,10310
2026-02-03T09:50:00,ETH,BUY,10,100,96,40,10350
2026-02-03T09:55:00,SOL,BUY,10,100,35,-650,9700
2026-02-03T09:56:00,SOL,BUY,60,100,77,-1380,8320
2026-02-03T10:05:00,,SELL,15,100,90,-150,10930
,ADA,BUY,5,100,101,5,10935
2026-02-03T10:20:00,PEPE,BUY,1000000,10000,10050,20000000,500
2026-02-03T10:30:00,SHIB,SELL,250000,5000,4800,-8000000,400
2026-02-03T10:40:00,BTC,BUY,10,100,97,30,430
